,t_shem_esek,t_hesber_mahut_esek,t_categoria,t_ktovet,mahuiot,cords
7812,עובד אלגמיל,מעבדת שיניים,"בריאות, רוקחות, קוסמטיקה",יבנה 17 ,"מעבדת שיניים,","(32.065133, 34.773373)"
7813,מתוק בלב,מקום אחר למכירת מזון.,מזון,המלך ג'ורג' 51 ,"מקום אחר למכירת ממתקים, משקאות שלא לצריכה במקום, משקאות קלים , שלגונים ודברי מאפה באריזות סגורות מכירת פיצוחים
,","(31.7768891, 35.2168899)"
7814,"""שנרז""",מעבדה לשיניים.,"בריאות, רוקחות, קוסמטיקה",השלום 101 ,"מעבדה לשיניים.,","(32.0619045, 34.8048602)"
7818,מספרת אלי,מספרה לגברים,"בריאות, רוקחות, קוסמטיקה",בית השואבה 2 ,"מספרה לגברים,","(31.7742885, 35.2323463)"
7822,חומוס אבו אדהם,"בית אוכל  להכנה והגשת חומוס פול פלאפל גרגירי בשר טחון גולמי קפוא מוכן באריזות סגורות ,סלט ירקות צ'יפס ( קפוא ממקור מאושר ) קינוחים מוכנים ממקור מאושר מורשה לרבות צריכת משקאות משכרים במקום בירה בלבד",מזון,קרליבך 7 ,"בית אוכל  להכנה והגשת חומוס פול פלאפל גרגירי בשר טחון גולמי קפוא מוכן באריזות סגורות ,סלט ירקות צ'יפס ( קפוא ממקור מאושר ) קינוחים מוכנים ממקור מאושר מורשה לרבות צריכת משקאות משכרים במקום בירה בלבד,","(32.066911, 34.783292)"
7823,הנסיך,"בית קפה + אפיה  פיצות ופוקצ'ות מבצק מוכן וקפוא, לצריכה במקום",מזון,נחלת בנימין 18 ,"בית קפה + אפיה  פיצות ופוקצ'ות מבצק מוכן וקפוא, לצריכה במקום,פאב- משקאות משכרים - הגשתם לצריכה במקום הגשתם.,","(32.064817, 34.770921)"
7827,לה קוקט,"בית קפה, לרבות הגשת משקאות משכרים לצריכה במקום. 
",מזון,נחלת בנימין 13 ,"בית קפה, לרבות הגשת משקאות משכרים לצריכה במקום. 
,מכירת עוגות,אפית עוגות,","(32.068112, 34.770194)"
7828, בית המלבי של יקיר,"קיוסק-מכירת ממתקים, משקאות קלים, שלגונים ודברי מאפה באריזות סגורות",מזון,"אצ""ל 53 ","קיוסק-מכירת ממתקים, משקאות קלים, שלגונים ודברי מאפה באריזות סגורות,","(32.050914, 34.791794)"
7829,"א את צ טכנולוגיות בע""מ","9.1 א - כלי נשק ותחמושת - מכירתם, תיקונם, אחסנתם (אחסון 20 כלי ירייה ומעלה או אחסנת 100,000 כדורים ומעלה)
",שרותי שמירה ואבטחה,"ריב""ל 10 ","מכירה ותיקון כלי יריה ותחמושת.,ייצור כלי נשק ותחמושת.,מטווח ירי.,","(32.062622, 34.782105)"
7830,מכבסת המלאכים,מכבסה (ללא ניקוי יבש ולא בשרות עצמי).,מסחר ושונות,ברודצקי 15 ,"מכבסה (ללא ניקוי יבש ולא בשרות עצמי).,","(32.1075647, 34.7976807)"
7833,אבולעפיה,בית אוכל לאפית והגשת דברי מאפה מבצק מוכן ומוקפא ופיתות לפות בגטים לחמניות סמבוסק ובייגלה מבצק שמכינים במקום.(רשיון יצרן) מכירה והגשה,מזון,אלנבי 45 ,"בית אוכל לאפית והגשת דברי מאפה מבצק מוכן ומוקפא ופיתות לפות בגטים לחמניות סמבוסק ובייגלה מבצק שמכינים במקום.(רשיון יצרן) מכירה והגשה,מכירת לחם.,","(32.070403, 34.770404)"
7835, לבן כשלג,"מכבסה,ניקוי יבש.",מסחר ושונות,טאגור רבינדרנת 30 ,"מכבסה,ניקוי יבש.,","(None, None)"
7838,האופה מבגדד,אפיית ומכירת דברי מאפה מבצק מוכן ומוקפא ממקור מאושר כחוק לצרכי מכירה במקום.,מזון,ולנברג ראול 14 ,"אפיית ומכירת דברי מאפה מבצק מוכן ומוקפא ממקור מאושר כחוק לצרכי מכירה במקום.,הכנת ומכירת כריכים וסלטים + מכירת עוגות ועוגיות ארוזות + שתיה קלה  + פינת  ישיבה במקום הכנת מיץ טבעי תפוזים וגזר בלבד.בכלים חד פעמיים,","(32.108992, 34.836735)"
7840,חניוני שחר-אבא אחמאיר,חניון תת קרקעי המכיל 128 מוקמות חניה מתוכם 5 חניות נכים.,רכב ותחבורה,אחימאיר אבא 15 ,"חניון תת קרקעי המכיל 128 מוקמות חניה מתוכם 5 חניות נכים.,","(32.4387555, 34.9250627)"
7844,"מ.א.ב פירות וירקות בע""מ-מ",מרכול למכירת פירות וירקות.,מזון,גורי ישראל 35 ,"מכירת פירות וירקות.,","(32.0471562, 34.7808537)"
7847,נתן שיווק מוצרי מזון ומכו,4.7 ב - מקום אחר למכירת מזון.,מזון,נחלת בנימין 97 ,"מכירת מצרכי מזון,","(32.060129, 34.772645)"
7848,מכבסה בשרות עצמי,מכבסה וייבוש בשירות עצמי.,מסחר ושונות,בן יהודה 64 ,"מכבסה (מכונות כביסה בשירות עצמי,","(32.079327, 34.769586)"
7849,פאב החלוצים,"בית אוכל להכנת פלטות ירקות,גבינות,נקניקים.",מזון,החלוצים 3 ,"בית אוכל להכנת פלטות ירקות,גבינות,נקניקים.,משקאות משכרים-הגשתם לצורך צריכה במקום ההגשה.,","(32.060291, 34.773504)"
7852,רינבו,"בית קפה להכנה והגשה ומכירת כריכים, סלטים מירקות טריים,אורז,פסטה,קינואה,תבשילי ירקות בלבד, מרקים מירקות, חימום והגשת קציצות מירקות (טיבול) מוכנים ממקור מאושר כחוק.",מזון,אבן גבירול 88 ,"בית קפה להכנה והגשה ומכירת כריכים, סלטים מירקות טריים,אורז,פסטה,קינואה,תבשילי ירקות בלבד, מרקים מירקות, חימום והגשת קציצות מירקות (טיבול) מוכנים ממקור מאושר כחוק.,","(32.082527, 34.781497)"
7855,"מימדיון בע""מ",6 בריכות שחיה ובריכת משחקים.,עינוג ציבורי כללי,רוקח ישראל 150 ,"6 בריכות שחיה ובריכת משחקים.,עריכת משחקי וידאו לילדים.,6 מתקני גלישה מים.,","(31.9595402, 34.8081028)"
7856,מספרת מאיר,מספרה,"בריאות, רוקחות, קוסמטיקה",לוינסקי 54 ,"מספרה,","(32.059176, 34.773834)"
